ehux_ID,geph_ID,match
425873,evm.model.Contig1531.4,100
103541,evm.model.Contig947.32,100
238875,evm.model.Contig914.53,100
258497,evm.model.Contig1226.14,100
217049,evm.model.Contig1295.10,100
420810,evm.model.Contig47.26,100
444811,evm.model.Contig896.39,100
68349,evm.model.Contig1457.9,100
452414,evm.model.Contig1390.3,100
195491,evm.model.Contig1081.25,100
197258,evm.model.Contig5435.1,100
229154,evm.model.Contig952.23,100
224749,evm.model.Contig156.4,100
360852,evm.model.Contig205.4,100
462847,evm.model.Contig2943.3,100
66219,evm.model.Contig2845.1,100
450436,evm.model.Contig253.8,100
427295,evm.model.Contig3075.1,100
349937,evm.model.Contig1262.17,100
120796,evm.model.Contig1073.9,100
467532,evm.model.Contig1476.20,100
469592,evm.model.Contig152.11,100
199717,evm.model.Contig960.15,100
429145,evm.model.Contig1491.15,100
209646,evm.model.Contig974.13,100
221039,evm.model.Contig2795.2,100
452132,evm.model.Contig4695.1,100
100757,evm.model.Contig1590.1,100
356765,evm.model.Contig1123.31,100
212339,evm.model.Contig934.1,100
114656,evm.model.Contig920.4,100
106373,evm.model.Contig1192.19,100
420918,evm.model.Contig93.11,100
458224,evm.model.Contig1438.8,100
115688,evm.model.Contig55.22,100
437459,evm.model.Contig1704.5,100
238038,evm.model.Contig5187.1,100
223515,evm.model.Contig71.19,100
112089,evm.model.Contig1128.7,100
434185,evm.model.Contig1071.33,100
124017,evm.model.Contig995.7,100
459992,evm.model.Contig880.3,100
426989,evm.model.Contig1210.2,100
442259,evm.model.Contig985.32,100
125393,evm.model.Contig24.41,100
197114,evm.model.Contig1153.29,100
446877,evm.model.Contig1851.4,100
108214,evm.model.Contig2784.3,100
449491,evm.model.Contig1064.14,100
308453,evm.model.Contig1535.14,100
201823,evm.model.Contig2128.2,100
363478,evm.model.Contig837.9,100
219214,evm.model.Contig5.20,100
462187,evm.model.Contig1188.17,100
454977,evm.model.Contig949.16,100
119540,evm.model.Contig804.30,100
210636,evm.model.Contig1096.20,100
226058,evm.model.Contig1299.2,100
103805,evm.model.Contig241.2,100
